time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-11T13:45:56.580Z,-22.659,171.675,0.0,4.2,mb,,,,,oe,oe52980701,2021-02-12T11:51:15.898Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.2,8,manual,oe,oe
2021-02-11T13:35:02.757Z,13.584,120.859,147.6,4.8,mb,,,,,oe,oe52980698,2021-02-12T11:46:46.874Z,MINDORO  PHILIPPINES,earthquake,,,,,manual,oe,oe
2021-02-11T12:44:25.687Z,-22.712,171.247,10.0,4.9,mb,,,,,oe,oe52980175,2021-02-12T11:46:16.403Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T12:40:51.412Z,45.418,16.229,10.0,2.0,ML,9,291.0,2.52,1.17,oe,oe52980678,2021-02-12T11:42:31.337Z,NORTHWESTERN BALKAN REGION,earthquake,11.3,,0.2,4,manual,oe,oe
2021-02-11T12:16:38.356Z,-23.229,171.898,10.0,5.0,mb,,,,,oe,oe52980673,2021-02-12T11:35:30.951Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T12:10:18.400Z,42.880,18.590,8.0,3.5,ML,,,,,oe,oe52980172,2021-02-12T11:31:41.806Z,NORTHWESTERN BALKAN REGION,earthquake,,,,,manual,oe,oe
2021-02-11T12:07:34.470Z,-23.172,171.572,0.0,4.2,mb,,,,,oe,oe52980667,2021-02-12T11:34:57.855Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,9,manual,oe,oe
2021-02-11T11:46:08.824Z,-22.628,171.046,10.0,4.7,mb,,,,,oe,oe52980657,2021-02-12T11:29:50.796Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T11:19:26.660Z,-23.100,172.014,10.0,5.6,mb,,,,,oe,oe52980168,2021-02-13T06:48:43.505Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T11:10:36.000Z,-22.640,170.943,0.0,4.4,mb,,,,,oe,oe52981800,2021-02-13T06:45:41.608Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,8,manual,oe,oe
2021-02-11T09:45:17.050Z,-22.912,170.965,0.0,4.2,mb,,,,,oe,oe52981794,2021-02-13T06:24:48.618Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,7,manual,oe,oe
2021-02-11T09:39:52.592Z,-23.178,171.926,10.0,5.0,mb,,,,,oe,oe52981792,2021-02-13T06:22:35.130Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T09:27:53.591Z,-23.461,171.772,10.0,5.0,mb,,,,,oe,oe52981789,2021-02-13T06:20:18.084Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T09:27:53.591Z,-23.461,171.772,10.0,5.0,mb,,,,,oe,oe52981790,2021-02-13T06:22:02.658Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T09:25:56.120Z,-23.607,171.582,0.0,4.2,mb,,,,,oe,oe52981788,2021-02-13T06:18:19.597Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.2,8,manual,oe,oe
2021-02-11T09:11:45.140Z,-21.909,170.085,513.0,3.2,mb,,,,,oe,oe52981786,2021-02-13T06:17:30.034Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.4,6,manual,oe,oe
2021-02-11T09:09:13.980Z,-22.007,171.260,0.0,4.1,mb,,,,,oe,oe52981783,2021-02-13T06:16:50.450Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,7,manual,oe,oe
2021-02-11T08:58:34.347Z,47.899,14.017,15.0,2.4,ML,5,158.8,2.01,0.33,oe,oe52980159,2021-02-11T08:59:21.246Z,AUSTRIA,earthquake,,,0.6,4,automatic,oe,oe
2021-02-11T08:53:12.860Z,-22.160,171.614,314.3,3.8,mb,,,,,oe,oe52981764,2021-02-13T06:13:14.793Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,8,manual,oe,oe
2021-02-11T08:49:35.520Z,-22.669,170.534,0.0,4.0,mb,,,,,oe,oe52981760,2021-02-13T06:06:22.057Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.4,3,manual,oe,oe
2021-02-11T08:41:43.376Z,46.959,10.302,0.0,2.2,ML,2,355.1,0.94,0.39,oe,oe52980141,2021-02-11T08:42:14.772Z,NORTHERN ITALY,earthquake,7.9,,1.1,3,manual,oe,oe
2021-02-11T08:41:39.512Z,47.641,12.878,13.2,2.2,ML,4,180.1,1.22,0.41,oe,oe52980140,2021-02-11T08:42:13.486Z,AUSTRIA,earthquake,7.7,4.3,1.3,6,automatic,oe,oe
2021-02-11T08:39:13.373Z,-23.270,171.659,10.0,0.0,-,,,,,oe,oe52980155,2021-02-13T06:00:43.932Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T08:22:10.605Z,-22.857,171.241,10.0,0.0,-,,,,,oe,oe52980138,2021-02-13T05:37:52.008Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T08:00:08.830Z,-22.793,171.745,0.0,4.3,mb,,,,,oe,oe52981692,2021-02-13T05:32:56.652Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,7,manual,oe,oe
2021-02-11T07:56:05.421Z,-23.354,171.730,10.0,5.2,mb,,,,,oe,oe52980129,2021-02-13T05:30:35.853Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T07:43:18.660Z,-23.009,171.347,0.0,4.2,mb,,,,,oe,oe52980127,2021-02-13T05:27:47.192Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,6,manual,oe,oe
2021-02-11T07:23:53.670Z,-19.760,-168.119,0.0,4.5,mb,,,,,oe,oe52980007,2021-02-13T05:25:48.348Z,TONGA ISLANDS REGION,earthquake,,,0.8,2,manual,oe,oe
2021-02-11T07:18:40.647Z,-23.278,171.916,10.0,0.0,-,,,,,oe,oe52980001,2021-02-13T05:22:28.881Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T07:11:41.644Z,49.364,14.319,15.0,2.6,ML,6,209.8,2.94,0.36,oe,oe52979992,2021-02-11T07:12:42.228Z,CZECH AND SLOVAK REPUBLICS,earthquake,,,0.1,4,automatic,oe,oe
2021-02-11T06:52:28.086Z,-23.414,171.821,10.0,0.0,-,,,,,oe,oe52979987,2021-02-13T05:21:08.794Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,,,manual,oe,oe
2021-02-11T06:38:47.340Z,-14.383,167.644,0.0,4.2,mb,,,,,oe,oe52981641,2021-02-13T05:16:22.950Z,VANUATU ISLANDS,earthquake,,,0.4,4,manual,oe,oe
2021-02-11T06:28:38.660Z,-19.704,171.461,0.0,4.2,mb,,,,,oe,oe52981638,2021-02-13T05:15:37.165Z,VANUATU ISLANDS REGION,earthquake,,,0.4,6,manual,oe,oe
2021-02-11T06:17:22.870Z,-23.082,171.962,0.0,4.2,mb,,,,,oe,oe52981635,2021-02-13T05:14:49.748Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.1,7,manual,oe,oe
2021-02-11T06:15:11.050Z,-22.735,171.327,0.0,4.1,mb,,,,,oe,oe52981632,2021-02-13T05:12:47.371Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.2,6,manual,oe,oe
2021-02-11T06:13:41.830Z,-22.077,170.468,0.0,4.1,mb,,,,,oe,oe52981628,2021-02-13T05:10:17.933Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.3,4,manual,oe,oe
2021-02-11T05:56:57.010Z,-23.182,171.563,0.0,4.2,mb,,,,,oe,oe52981626,2021-02-13T05:09:48.126Z,SOUTHEAST OF LOYALTY ISLANDS,earthquake,,,0.2,6,manual,oe,oe
